#          m_WW        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             15              0              0              0              0              0              0
             30              0              0              0              0              0              0
             45              0              0              0              0              0              0
             60              0              0              0              0              0              0
             75  2.8019826e-06  1.7974876e-06  2.4218137e-06  1.5556491e-06  3.1628019e-06  2.0266268e-06
             90  2.5568672e-05  8.0984083e-06  2.2125692e-05  7.0242322e-06  2.8835309e-05  9.1166473e-06
            105   0.0004694136  9.1150773e-05  0.00041207129  8.0528781e-05  0.00052268113  0.00010088134
            120   0.0052525891  0.00059651559   0.0046409887  0.00052763705   0.0058172665  0.00065998502
            135    0.023551053    0.001520879    0.020946782    0.001354958    0.025933765   0.0016723329
            150     0.34805069    0.007647983     0.31215036   0.0068713144     0.38051036    0.008349189
            165      1.6354902    0.017692935      1.4736052    0.015960564      1.7808568    0.019247781
            180      1.7583855    0.018920709      1.5929867    0.017155055      1.9056454    0.020492705
            195      1.5487504    0.018195776      1.4106906    0.016593444      1.6705821    0.019609022
            210      1.2896158    0.016566297      1.1803623    0.015180189       1.385229    0.017778835
            225      1.0626983    0.014825961      0.9771438    0.013644282      1.1369455    0.015851344
            240     0.90409968    0.013691771     0.83500161    0.012656657     0.96354663    0.014582011
            255     0.74668666    0.012141262     0.69242985    0.011265084     0.79297558    0.012889167
            270      0.6419812    0.011387451     0.59772591     0.01062489     0.67941208     0.01203114
            285     0.53466258   0.0097250804     0.49948674      0.0090857     0.56417508    0.010262313
            300     0.53466258   0.0097250804     0.49948674      0.0090857     0.56417508    0.010262313
