#       pT_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.0602518    0.022929269     0.97690009    0.021177343      1.1329278    0.024461469
             30      4.0712552    0.038029556      3.7364316    0.034959025      4.3647416    0.040730542
             40      4.7248102    0.036896639      4.3328884     0.03384734      5.0682669    0.039577781
             50      3.6590612    0.031953729      3.3674543    0.029424815      3.9128313    0.034161026
             60      2.4838742    0.025191463      2.2972864    0.023291059       2.644714     0.02683722
             70      1.5977939    0.019062235      1.4863464    0.017720943      1.6926901    0.020210711
             80      1.0514163    0.014446194     0.98409867    0.013506252      1.1079309    0.015240511
             90     0.72888861    0.011356086     0.68607661     0.01068368     0.76431862    0.011916697
            100     0.51795872    0.008882871     0.49043973    0.008403972     0.54033045   0.0092759491
            110     0.37487336   0.0071318762     0.35678291   0.0067840192     0.38932568    0.007412495
            120     0.27708546   0.0058201604     0.26542484   0.0055769184     0.28616034   0.0060120105
            130     0.20489847   0.0046742967     0.19703609   0.0044893975     0.21088135   0.0048170021
            140     0.15506098    0.003892607     0.14977224   0.0037604869     0.15898213   0.0039920654
            150     0.12274179   0.0033357019     0.11920631   0.0032390361      0.1252451   0.0034055031
            160    0.099385632   0.0028567395    0.096906913   0.0027838601     0.10105964   0.0029073586
            170    0.077445739   0.0024736944    0.075673159   0.0024142219    0.078605876   0.0025140433
            180    0.061044929   0.0020960909    0.059946869   0.0020627618    0.061691141   0.0021154552
            190    0.046211517    0.001725651     0.04555938   0.0017032699    0.046539433   0.0017367598
            200    0.046211517    0.001725651     0.04555938   0.0017032699    0.046539433   0.0017367598
