#       pT_miss        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30      5.3308343    0.044680501      4.9154475    0.041137927      5.6917568     0.04778103
             40       5.088546    0.040959149      4.6981228     0.03778322      5.4271132    0.043733916
             50      4.5517784    0.035001744      4.2072416    0.032317968      4.8500222    0.037341569
             60      3.3578257    0.025539551        3.10989    0.023640104      3.5716695    0.027188563
             70      1.8814338     0.01585421      1.7510069     0.01475312      1.9928599    0.016801482
             80     0.64957371   0.0079997023     0.61159575   0.0075417818     0.68118383   0.0083843147
             90     0.25580374   0.0043616401      0.2441851   0.0041697973     0.26507299    0.004516472
            100     0.14147578    0.002935636     0.13637145   0.0028298762     0.14536227   0.0030176981
            110    0.088369062   0.0022874093    0.085842047   0.0022276701    0.090181034    0.002330316
            120    0.058910488   0.0017858941    0.057626469   0.0017573261    0.059751492   0.0018033221
            130    0.040478869   0.0014256008    0.039771882   0.0014063778     0.04089937   0.0014359326
            140    0.028244963  0.00096740375    0.027957049  0.00095959981    0.028356443  0.00097005128
            150    0.023170186   0.0010492753     0.02298408   0.0010449936    0.023217034   0.0010485653
            160    0.018461052   0.0010880013     0.01833637   0.0010857608    0.018475067   0.0010845915
            170     0.01364767  0.00074243087     0.01354056  0.00073439248    0.013689828  0.00074745901
            180    0.011791789  0.00078442757    0.011697253  0.00077620019    0.011830802  0.00078936471
            190   0.0083267334  0.00050384115   0.0082212541  0.00049885637   0.0084002103  0.00050701977
            200   0.0083267334  0.00050384115   0.0082212541  0.00049885637   0.0084002103  0.00050701977
