#          m_WW        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             15              0              0              0              0              0              0
             30  1.5319398e-09  1.5259901e-09  1.3783386e-09  1.3729855e-09  1.7254649e-09  1.7187635e-09
             45  3.7310673e-09  2.0008157e-09   3.350013e-09  1.7658241e-09   4.202401e-09  2.2535723e-09
             60   1.347468e-07  1.2512423e-07   1.212363e-07  1.1257855e-07  1.5176892e-07  1.4093077e-07
             75  4.2924411e-06  2.1572766e-06  4.1468069e-06  1.9121631e-06   4.434276e-06  2.1886396e-06
             90  0.00028391593  0.00020305021  0.00025831906  0.00018273345  0.00031616591   0.0002286533
            105   0.0008526322  0.00015486563  0.00081114573  0.00014093312  0.00089434621  0.00016653735
            120   0.0090137867  0.00094357409   0.0085532479  0.00085682003   0.0094123904   0.0010048289
            135    0.042019212   0.0024289948    0.040077863   0.0022669665    0.044019795    0.002590894
            150     0.53960443    0.010468859     0.52010339   0.0095076967     0.55912358    0.010951382
            165      2.5705943    0.025749339      2.4771112    0.023452167      2.6671495    0.027186712
            180      2.8627746    0.031089332      2.7667717    0.028500098      2.9796319    0.033313548
            195      2.6252896    0.030000531      2.5327503    0.028360921      2.7418818    0.032171006
            210      2.2369299    0.026799642      2.1544852    0.025375773      2.3408036    0.028687727
            225       1.858599    0.041952658      1.7889313    0.038403295      1.9463747    0.046499797
            240      1.5791085    0.025868168      1.5198384    0.024169337      1.6537841    0.028089789
            255      1.3568073    0.020680303      1.3023969    0.019481148      1.4253599    0.022261845
            270      1.1162648    0.027889563      1.0743815    0.025661858      1.1690343    0.030758082
            285     0.98259772    0.015399477     0.94233629    0.014602961      1.0333239    0.016457339
            300     0.98259772    0.015399477     0.94233629    0.014602961      1.0333239    0.016457339
