#      m_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20       1.459922    0.028901268      1.4099835     0.02751996      1.5228405    0.030743896
             30      1.9928748    0.034675223      1.9285442    0.032883407      2.0739263    0.037055082
             40      2.4857962     0.03632063      2.4057053    0.034545698      2.5867042    0.038685487
             50      2.7945876    0.058896868      2.7068656    0.054161371      2.9051102    0.064991093
             60      2.8852034    0.034994312      2.7916678    0.033331663      3.0030508    0.037212943
             70      2.8230527    0.035721304      2.7276471     0.03369693      2.9432561     0.03839511
             80      2.7275874    0.032883796      2.6257295    0.031041241      2.8559202    0.035319182
             90      2.4888269    0.030316272      2.3931694    0.028635885      2.6093477    0.032538807
            100       2.237414    0.028264061      2.1470928    0.026686715      2.3512113     0.03034943
            110      1.9310838    0.028105654      1.8560186     0.02646038      2.0256598    0.030274242
            120      1.7229235    0.030613378      1.6526409    0.028478597      1.8114738    0.033392708
            130      1.4537216    0.024261388      1.3933004    0.022817782      1.5298475    0.026162133
            140      1.2886097    0.027738883      1.2353496    0.025754277      1.3557132    0.030317589
            150      1.1278415    0.022231767      1.0804054    0.020853697      1.1876071    0.024041249
            160     0.95416337     0.02470703     0.91476703    0.022891463      1.0037996    0.027061117
            170     0.81708202    0.021296291      0.7844643    0.019869687     0.85817768    0.023159217
            180     0.72684286    0.024165927     0.69587666    0.022231397     0.76585775    0.026656464
            190       0.605261    0.036437188     0.58260541    0.033115773     0.63380519    0.040662566
            200       0.605261    0.036437188     0.58260541    0.033115773     0.63380519    0.040662566
