#         pT.Wp        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        1.20052    0.038115277      1.1664077    0.035136683      1.2333075    0.042023617
             10      3.4487542    0.075216127      3.3446104     0.07089851       3.557954    0.083335267
             20      4.4618859     0.10367516        4.32806    0.097203285      4.6041182     0.11539457
             30      4.4524701     0.10986956      4.3301925     0.10205292       4.601808     0.12247215
             40      4.2765844     0.12875278      4.1364864     0.11668987      4.4530965     0.14405735
             50      3.3448233     0.10280554      3.2404215    0.093288072      3.4763611     0.11489495
             60      2.8996838    0.065647498      2.7823131    0.059886863      3.0475614    0.073002662
             70      2.2398335    0.055046001       2.149724    0.050229131       2.353364     0.06119778
             80      1.7338544    0.056364546      1.6640583    0.051195239      1.8217918    0.062936833
             90      1.5877933    0.049661098      1.5068205    0.045066442      1.6898124    0.055497742
            100      1.2075038    0.037891988      1.1479312    0.034421575      1.2825605    0.042304879
            110     0.99754638     0.03450259     0.94586009    0.031302551      1.0626669    0.038566652
            120     0.80390535    0.030397623     0.76188056    0.027570173     0.85685317    0.033987471
            130     0.69336836    0.025935381     0.65604899    0.023524154     0.74038775    0.028996923
            140     0.54839207    0.020335786     0.51744178      0.0187943     0.58709735    0.022118023
            150     0.45223177     0.01772758     0.42385179    0.016350225     0.48750959    0.019326549
            160     0.41709826     0.01531002     0.38926246    0.014027963     0.45145798    0.016818175
            170     0.30999402    0.017910728     0.28968982    0.016547932     0.33559573     0.01946331
            180     0.28712121    0.013466295     0.26623691    0.012357361     0.31314852    0.014755408
            190      0.2411424    0.015149551     0.22259169    0.013869329     0.26445538     0.01662815
            200      0.2411424    0.015149551     0.22259169    0.013869329     0.26445538     0.01662815
