#       pT_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.3091712    0.050644658      1.2813554    0.047376154      1.3292106    0.055584725
             30      5.4488812    0.092829456       5.296499    0.085994572      5.5766939     0.10234823
             40      6.8848709     0.10831885      6.6923121     0.10008402      7.1010164     0.12019685
             50      6.0194893    0.092763244      5.8179207    0.084849672      6.2734494     0.10289376
             60      4.2257669    0.081824496      4.0746932    0.074602801      4.4161074    0.091040132
             70      3.2633469    0.076633925      3.1111417    0.069549955      3.4551131     0.08563355
             80      2.2311844    0.049989039      2.1222879    0.045502158      2.3683852    0.055705597
             90       1.594745    0.041594748      1.5142331    0.037812282      1.6961834    0.046407778
            100      1.3300971    0.036911638      1.2529699    0.033476848      1.4272711    0.041272411
            110     0.95457614    0.030803673     0.89942124    0.027919306      1.0240668    0.034463365
            120     0.74617522    0.017805694     0.69866827    0.016582102     0.80476803    0.019231147
            130     0.59802193    0.018142104     0.55688269    0.016786547     0.64871192    0.019707766
            140     0.50410578    0.018258642     0.46686505    0.016770783     0.54992279    0.019987278
            150     0.34984846    0.015657809     0.32329671    0.014325922      0.3829665    0.017214756
            160     0.30593889    0.011359326     0.28195538    0.010364212     0.33582259    0.012537783
            170     0.25245846   0.0089610324     0.23100398   0.0080996373     0.27936313    0.010009187
            180     0.22144603   0.0087437921     0.20169434    0.007888772      0.2460275   0.0097745298
            190     0.15369385    0.010482359     0.13918855   0.0095093871     0.17221218    0.011628028
            200     0.15369385    0.010482359     0.13918855   0.0095093871     0.17221218    0.011628028
