#     pT_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30      7.2943742     0.46056049      7.0969008     0.42281065      7.4797207      0.5181252
             40      6.4512183     0.45818922      6.3254387     0.42111126       6.563996     0.51555136
             50      6.8631403     0.12306585      6.6729591      0.1119708      7.1027532      0.1371956
             60      5.3809909    0.090417126      5.2085596    0.082252838      5.5982403     0.10081294
             70      3.6682928    0.062504241      3.5057927    0.056738544      3.8730299    0.069830621
             80      2.0983136    0.034981203      1.9583852    0.031698769       2.274612    0.039145088
             90      1.2951524    0.026284814      1.1928138    0.023737022      1.4240909    0.029506175
            100     0.91782776    0.015989408     0.84092594    0.014450909      1.0147178     0.01793611
            110     0.64377332    0.012961141     0.58559856    0.011744164     0.71326641    0.014544729
            120     0.51365034    0.011014283     0.46400728    0.010004885     0.57260782    0.012193681
            130     0.40340558   0.0096068025     0.36196007   0.0085974271     0.45299187    0.010819361
            140      0.3104324   0.0086311617      0.2771311   0.0077052083     0.35057271   0.0097495453
            150     0.24431033    0.011166667     0.21702102    0.010088397     0.27760914    0.012435875
            160      0.2143063   0.0094863916     0.18993002   0.0085927889     0.24412412    0.010530312
            170     0.17671875   0.0046676825     0.15564771   0.0041059658      0.2026178   0.0053580308
            180     0.13447452   0.0038172762     0.11820447   0.0033687181     0.15470042   0.0043702359
            190     0.11650286   0.0037038101     0.10175325    0.003250312     0.13490896    0.004262068
            200     0.11650286   0.0037038101     0.10175325    0.003250312     0.13490896    0.004262068
