#          m_WW        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             15              0              0              0              0              0              0
             30  1.5319398e-09  1.5259901e-09  1.3783386e-09  1.3729855e-09  1.7254649e-09  1.7187635e-09
             45  3.7310673e-09  2.0008157e-09   3.350013e-09  1.7658241e-09   4.202401e-09  2.2535723e-09
             60   1.347468e-07  1.2512423e-07   1.212363e-07  1.1257855e-07  1.5176892e-07  1.4093077e-07
             75  4.4076796e-06  2.1583131e-06  4.2620454e-06  1.9133324e-06  4.5495145e-06  2.1896613e-06
             90  0.00028566877  0.00020305141   0.0002600719  0.00018273479  0.00031791875  0.00022865437
            105  0.00090664689  0.00015532598  0.00086516042  0.00014143882   0.0009483609  0.00016696552
            120     0.34772138    0.005276762     0.34726084   0.0052619412     0.34811998   0.0052880588
            135    0.045276224    0.002438852    0.043334875   0.0022775251    0.047276807   0.0026001375
            150     0.59796872     0.01058063     0.57846768   0.0096306288     0.61748787    0.011058277
            165      2.7846049    0.025945652      2.6911218    0.023667542      2.8811601    0.027372718
            180      3.0713204     0.03128398      2.9753175    0.028712305      3.1881777    0.033495273
            195      2.7981208     0.03013944      2.7055815     0.02850782       2.914713    0.032300582
            210      2.3777789    0.026914794      2.2953342    0.025497356      2.4816526     0.02879533
            225      1.9664629    0.041999123      1.8967952    0.038454049      2.0542386    0.046541723
            240      1.6639606    0.025924536      1.6046905    0.024229658      1.7386362    0.028141707
            255      1.4259942    0.020730971      1.3715838    0.019534926      1.4945468    0.022308921
            270      1.1716575    0.027916728      1.1297742    0.025691379       1.224427    0.030782716
            285      1.0280332    0.015435018     0.98777179    0.014640435      1.0787594      0.0164906
            300      1.0280332    0.015435018     0.98777179    0.014640435      1.0787594      0.0164906
