#      m_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.7085122    0.029199365      1.6585737    0.027832855      1.7714307    0.031024293
             30       2.294116    0.034998824      2.2297855    0.033224465      2.3751676    0.037358074
             40      2.8047393    0.036667049      2.7246484    0.034909734      2.9056473    0.039010912
             50      3.0866651    0.059084357      2.9989431    0.054365193      3.1971877    0.065161049
             60      3.1235639    0.035215739      3.0300282     0.03356406      3.2414113    0.037421244
             70      3.0284089    0.036329643      2.9330033    0.034341148      3.1486123    0.038961723
             80      2.8898566    0.033012967      2.7879987    0.031178047      3.0181894    0.035439477
             90      2.6251438    0.030421704      2.5294863     0.02874748      2.7456646     0.03263706
            100      2.3534705    0.028362349      2.2631493    0.026790791      2.4672678    0.030440986
            110      2.0232331    0.028168148      1.9481679     0.02652675      2.1178091    0.030332268
            120      1.8013045    0.030658467      1.7310219     0.02852706      1.8898548    0.033434049
            130      1.5164809    0.024304802      1.4560597    0.022863937      1.5926068    0.026202398
            140      1.3430991    0.027769574       1.289839     0.02578733      1.4102026    0.030345672
            150      1.1726136    0.022260527      1.1251775    0.020884355      1.2323792    0.024067847
            160     0.99250088    0.024728038     0.95310454    0.022914136      1.0421371    0.027080299
            170     0.84868513    0.021314287     0.81606741    0.019888973     0.88978079    0.023175766
            180     0.75452576    0.024179545     0.72355956    0.022246199     0.79354065     0.02666881
            190     0.62856434    0.036444322     0.60590875    0.033123622     0.65710853    0.040668959
            200     0.62856434    0.036444322     0.60590875    0.033123622     0.65710853    0.040668959
