#         pT.Wm        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.4360207    0.044304319      1.4026472    0.041579679      1.4665427    0.049038482
             10      3.7767899    0.072655884      3.6765843    0.067806118      3.8727873    0.080354497
             20      4.8706837    0.081729732      4.7415333    0.076041595      5.0069601    0.090258243
             30      4.8202122    0.089125778      4.6917326    0.082539991      4.9736694    0.098778167
             40      4.4750753     0.12482058      4.3377459     0.11321639      4.6480993     0.13955452
             50      3.5464375     0.10848325      3.4405953    0.098363652      3.6797899     0.12132784
             60      3.0801155    0.073234383       2.959084    0.066637484      3.2326055    0.081636343
             70       2.392084    0.059229666      2.2979835     0.05395161      2.5106429    0.065958872
             80      1.9876331    0.063415997      1.9014148    0.057492377      2.0962612    0.070933724
             90      1.5013323    0.055215933      1.4363222    0.050029916      1.5832397    0.061793964
            100      1.2371355    0.042935555      1.1801975    0.038924651      1.3088726    0.048025792
            110      1.0842679    0.035976236      1.0285835    0.032621127      1.1544258    0.040234917
            120     0.85693212    0.025889059     0.81313662    0.023554601     0.91211089    0.028861985
            130     0.76540831    0.022894454     0.72378979    0.020815531     0.81784428    0.025540166
            140     0.56367849    0.020306239     0.53307932    0.018749543     0.60197874    0.022112418
            150     0.51612149    0.019229939     0.48271131    0.017628444     0.55749356    0.021112018
            160     0.39246989    0.015167539     0.36849826    0.013870726     0.42224468    0.016707963
            170     0.37078004    0.019000873     0.34558418    0.017591584     0.40219027    0.020588071
            180      0.2836999    0.013459087     0.26355843    0.012333203     0.30909372     0.01477736
            190     0.25049524    0.012035446     0.23257183    0.010977733     0.27295479    0.013280484
            200     0.25049524    0.012035446     0.23257183    0.010977733     0.27295479    0.013280484
