#         pT.Wp        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       1.453955    0.038519871      1.4198427    0.035575168      1.4867425    0.042390925
             10      3.8812999    0.075404958      3.7771561    0.071098809      3.9904997     0.08350574
             20      4.9178298     0.10381223      4.7840039    0.097349467      5.0600621     0.11551773
             30      4.7876041       0.109964      4.6653265     0.10215458       4.936942     0.12255688
             40      4.5026874     0.12892797      4.3625894     0.11688314      4.6791995     0.14421395
             50      3.5320726     0.10284673      3.4276708    0.093333458      3.6636104      0.1149318
             60      3.0436036    0.065693086      2.9262329    0.059936833      3.1914812     0.07304366
             70      2.3522796    0.055083447      2.2621701    0.050270166      2.4658101    0.061231464
             80      1.8238464    0.056396085      1.7540503     0.05122996      1.9117838     0.06296508
             90      1.6605361    0.049682328      1.5795633    0.045089835      1.7625552     0.05551674
            100      1.2634125    0.037911014      1.2038399    0.034442518      1.3384692    0.042321921
            110      1.0443928    0.034518614     0.99270648    0.031320212      1.1095133    0.038580988
            120     0.83927191    0.030409606     0.79724712    0.027583384     0.89221973    0.033998189
            130     0.72253078    0.025945985     0.68521141    0.023535844     0.76955017    0.029006408
            140     0.57172527    0.020346201     0.54077498    0.018805569     0.61043055    0.022127599
            150     0.47071698    0.017735416       0.442337    0.016358721      0.5059948    0.019333737
            160      0.4321622    0.015317366      0.4043264     0.01403598     0.46652192    0.016824863
            170     0.32369257    0.017915935     0.30338837    0.016553567     0.34929428    0.019468101
            180     0.29862652    0.013471682     0.27774222    0.012363231     0.32465383    0.014760324
            190     0.25209443    0.015153988     0.23354372    0.013874175     0.27540741    0.016632192
            200     0.25209443    0.015153988     0.23354372    0.013874175     0.27540741    0.016632192
