#       pT_lep1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.4980923    0.050806275      1.4702765    0.047548881      1.5181317    0.055732018
             30      6.1130944     0.09328752      5.9607122    0.086488843      6.2409071     0.10276387
             40      7.4718525     0.10848336      7.2792937     0.10026204       7.687998     0.12034512
             50      6.3712096    0.092855595       6.169641    0.084950627      6.6251697     0.10297703
             60      4.4622734     0.08189288      4.3111997    0.074677799      4.6526139    0.091101599
             70      3.4236973    0.076674633      3.2714921    0.069594807      3.6154635    0.085669982
             80       2.344269    0.050029015      2.2353725    0.045546072      2.4814698    0.055741473
             90      1.6736566    0.041623172      1.5931447    0.037843547       1.775095    0.046433256
            100      1.3886684    0.036933094      1.3115412    0.033500503      1.4858424    0.041291601
            110     0.99638726    0.030819875     0.94123236    0.027937181      1.0658779    0.034477847
            120     0.77690423    0.017823623     0.72939728    0.016601353     0.83549704    0.019247749
            130     0.62125955    0.018153577     0.58012031    0.016798946     0.67194954    0.019718328
            140     0.52266326    0.018267022     0.48542253    0.016779906     0.56848027    0.019994934
            150     0.36443198    0.015664535     0.33788023    0.014333273     0.39755002    0.017220874
            160     0.31714305    0.011365852     0.29315954    0.010371364     0.34702675    0.012543696
            170     0.26170237   0.0089673469     0.24024789   0.0081066228     0.28860704    0.010014841
            180     0.22960368   0.0087491053     0.20985199   0.0078946607     0.25418515    0.009779283
            190     0.16050738    0.010486069     0.14600208   0.0095134771     0.17902571    0.011631373
            200     0.16050738    0.010486069     0.14600208   0.0095134771     0.17902571    0.011631373
