#     pT_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30      7.6905284     0.46062009       7.493055     0.42287557      7.8758749     0.51817818
             40      6.9907854     0.45822577      6.8650058     0.42115103      7.1035631     0.51558384
             50      7.4328023     0.12320722      7.2426211     0.11212616      7.6724152     0.13732242
             60      5.8160481     0.09056229      5.6436168    0.082412384      6.0332975     0.10094316
             70      4.0356663    0.062668704      3.8731662    0.056919669      4.2404034    0.069977867
             80      2.2557174    0.035092187       2.115789    0.031821204      2.4320158    0.039244299
             90       1.360468      0.0263348      1.2581294    0.023792362      1.4894065    0.029550713
            100     0.95154592    0.016024987      0.8746441    0.014490266       1.048436    0.017967834
            110      0.6645345      0.0129818     0.60635974     0.01176696     0.73402759    0.014563142
            120     0.52646284     0.01102667     0.47681978     0.01001852     0.58542032    0.012204871
            130     0.41153662   0.0096142449     0.37009111   0.0086057425     0.46112291     0.01082597
            140     0.31606517    0.008636004     0.28276387   0.0077106321     0.35620548   0.0097538324
            150     0.24896562    0.011169843     0.22167631    0.010091913     0.28226443    0.012438727
            160     0.21798286    0.009489036     0.19360658   0.0085957083     0.24780068    0.010532694
            170     0.17972844   0.0046718812      0.1586574   0.0041107383     0.20562749    0.005361689
            180     0.13689298   0.0038206881     0.12062293   0.0033725838     0.15711888   0.0043732164
            190     0.11823472    0.003706181     0.10348511   0.0032530134     0.13664082   0.0042641285
            200     0.11823472    0.003706181     0.10348511   0.0032530134     0.13664082   0.0042641285
