#       pT_miss        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      4.0289638    0.082520263      3.6249965    0.074246302      4.5379298    0.092944783
             30      5.4737501     0.15208962      5.3790581     0.16938327      5.5976974     0.14616118
             40      7.5763493     0.13521305      7.4169524      0.1266535      7.7630994     0.15049462
             50      7.1072737      0.1103516      6.9472219     0.10348743      7.3057636     0.12267187
             60      5.4778352    0.093312421      5.3393152    0.084859646      5.6523593     0.10407225
             70      3.8153641    0.058224678      3.6749527    0.052961595       3.992271    0.064925618
             80      2.0457936    0.030277645      1.9269134    0.027528379       2.195573    0.033776472
             90      1.1274473    0.019882038      1.0484727    0.018018208       1.226949    0.022246599
            100     0.74998642     0.01369516     0.69153884    0.012531819     0.82141411    0.015329738
            110     0.51592067    0.012446339     0.47198138     0.01130929     0.56849092    0.013789725
            120       0.401834    0.013696993       0.364845    0.012429886     0.44624312    0.015175168
            130      0.2810166     0.01274262     0.25301105    0.011549656     0.31504948     0.01413517
            140     0.23069323   0.0059856726     0.20602841   0.0053326923     0.26097544   0.0067806883
            150      0.1924436   0.0051128266     0.17159536   0.0045474735     0.21808877   0.0058007457
            160     0.16028307   0.0049110151     0.14217855   0.0043597411     0.18272747   0.0055865688
            170     0.12079209   0.0041825502     0.10682165   0.0037010278     0.13814825   0.0047745776
            180     0.11042625   0.0038019205    0.097397939   0.0033387581     0.12671855   0.0043791656
            190    0.085506613   0.0040435291    0.074938221   0.0035555267    0.098785022   0.0046447703
            200    0.085506613   0.0040435291    0.074938221   0.0035555267    0.098785022   0.0046447703
