#      m_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.7593706    0.077592323      1.7001211    0.061632081      1.8289797     0.10100299
             30      2.4107211    0.089435821      2.3291024    0.070844979      2.5071596      0.1167653
             40       3.048725     0.10025332      2.9392727    0.079135287      3.1803183     0.13128873
             50      3.2593299    0.098447571      3.1617535    0.078213573      3.3724418     0.12812236
             60      3.4589811     0.09556046      3.3490106    0.076431445         3.5862     0.12355276
             70      3.2540582    0.086580267      3.1839665    0.068629913      3.3231373       0.105673
             80      3.1171755    0.088450051      3.0293733    0.070895385      3.2256607     0.10977703
             90      2.9284368    0.079738254      2.8311542    0.063036665      3.0392507     0.10448451
            100      2.5192502     0.06840437      2.4582503    0.054260693      2.5957847    0.083559681
            110      2.2265772    0.064038736      2.1564911    0.050698895       2.313969    0.078792643
            120      1.9188364    0.062220177      1.8732923    0.049562045      1.9734898    0.076069334
            130       1.729131    0.055987332      1.6779303    0.044486004      1.7923327    0.068378058
            140      1.4409354    0.053710708      1.4004491    0.044838628      1.4916731    0.065981949
            150      1.2557267    0.052020403      1.2270571    0.041201596      1.2898897    0.064548842
            160      1.1194922    0.047801484      1.0874947    0.037889007      1.1584719    0.058876615
            170      0.9763366    0.043052704     0.94258772    0.035639547      1.0183934    0.053330262
            180     0.81083776    0.041885181     0.79667735    0.033081357     0.82256266    0.052089138
            190     0.71263507     0.03834924     0.69482281     0.03176451     0.73500715    0.047534071
            200     0.71263507     0.03834924     0.69482281     0.03176451     0.73500715    0.047534071
