#         pT.Wp        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.4895286    0.083669658       1.436293    0.070226206      1.5564571     0.10290671
             10      3.8578609     0.12016477      3.7551444    0.098226658      3.9811587     0.15258594
             20      5.5597123     0.13526846      5.3438803     0.10975871      5.8332113     0.17259275
             30      5.0754427     0.14070676      4.9924689     0.11382541      5.1659333     0.16840641
             40      4.6348983     0.13199008       4.546914     0.10731456      4.7299342     0.15723522
             50      4.0422772     0.11312269      3.9340782    0.091143455      4.1624409     0.13667943
             60      3.2834516    0.097776649      3.1793608     0.07845224      3.4015774     0.11969349
             70      2.6198469    0.080179427      2.5478767    0.064431876      2.6957714    0.098211917
             80      2.1440365     0.06980255       2.076883    0.056310382      2.2165597    0.085543992
             90      1.7650072    0.056843911      1.7014925    0.046939136       1.847169    0.070656027
            100      1.4390027    0.047753986      1.3888412    0.038470593        1.49355    0.059306097
            110      1.1878254    0.042218565      1.1423797    0.034853088      1.2432063    0.052595745
            120     0.94650446    0.043376652     0.91310264    0.034974748     0.98851804      0.0550138
            130     0.81839802    0.033411013     0.78431729    0.027989552     0.86021711    0.041079576
            140     0.66384356    0.027689355     0.63825578    0.022417633     0.69486109    0.035185696
            150     0.55502103    0.024807064     0.53239035    0.019856486     0.58217098    0.031886283
            160     0.45379955    0.021733111     0.43642634    0.017434847     0.47388652    0.027883778
            170     0.37519263    0.019164266     0.36343904     0.01534493     0.38755336    0.024622648
            180     0.31936955     0.01590273     0.30844282    0.012764839     0.33099326    0.020440449
            190     0.29639113    0.014645752      0.2825122    0.011660824     0.31259459    0.018972942
            200     0.29639113    0.014645752      0.2825122    0.011660824     0.31259459    0.018972942
