#       pT_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      16.028515     0.26788655      15.513251     0.21751983       16.62785     0.34088157
             30      11.996328     0.17200946      11.659308      0.1382794       12.38007     0.20974409
             40      6.3586684     0.11760014      6.1962895    0.094201731      6.5442347     0.14291682
             50      3.3739125    0.083829901      3.2867382    0.070372068      3.4843715     0.10241128
             60      2.0882266    0.059348144      2.0134513    0.047414905      2.1800937    0.073251594
             70      1.2001061    0.046757938       1.165758     0.03907484        1.24067    0.057473298
             80     0.86620833    0.036058834     0.82244144    0.030331052     0.92041048    0.044112516
             90     0.51337972    0.027642906      0.4992769    0.022729583      0.5285083    0.034566461
            100     0.33249634     0.02326621     0.32646651    0.018701482     0.33803128    0.029754881
            110        0.26039    0.023101806     0.25101452    0.019564355     0.27039198    0.028141966
            120     0.17785209    0.014682779     0.17363983    0.011845404     0.18120969    0.018768555
            130     0.10751914     0.01154154     0.10581815    0.014953819     0.10942164    0.011480595
            140    0.097817208   0.0098397819    0.095925266   0.0078438719    0.099499113   0.0098524843
            150    0.061443397   0.0091650041    0.059175784    0.011923037    0.062469492   0.0072833946
            160    0.055124909   0.0066953141     0.05325055   0.0053857894    0.056951485   0.0085195923
            170    0.050817004   0.0059634966    0.048391466   0.0047286442    0.053601125   0.0077905229
            180    0.029887819   0.0053016371    0.028507484   0.0072693791    0.030443416   0.0042032212
            190    0.025528279   0.0043353236    0.024897037   0.0034161069     0.02622339    0.004416596
            200    0.025528279   0.0043353236    0.024897037   0.0034161069     0.02622339    0.004416596
