#     pT_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30      7.6357811     0.21944472      7.5093684     0.18064902      7.7820759     0.27601698
             40       7.638908     0.19846138      7.5068743     0.16404137      7.7862836     0.24869505
             50      7.8881297     0.21234303      7.6524788     0.17486955       8.171043      0.2660198
             60      6.3112358     0.11239197      6.1421357    0.090306042       6.498334     0.14482433
             70      4.4186444    0.074198833      4.2692768    0.059788147      4.5818268     0.09534243
             80      2.6153228    0.042569086      2.5108758    0.034315807      2.7212976    0.054661274
             90       1.655579     0.02814537       1.575615    0.022911521      1.7502065    0.035271042
            100      1.1900243    0.021947347      1.1238994    0.017877604      1.2691437    0.027759323
            110     0.84730492    0.020217494     0.79819439    0.016181969      0.9063996    0.026003994
            120     0.64783311    0.017233813     0.61148235    0.013743836     0.68998086    0.022239134
            130     0.50133384    0.013084715     0.47157733    0.010662425      0.5354108    0.016611826
            140     0.40089899    0.012666167     0.37483776     0.01039481     0.43131154    0.015928437
            150     0.29887776    0.013876814     0.28393983    0.011018333      0.3142153    0.017962435
            160     0.26216768    0.011851945     0.24557846   0.0094321219     0.28063803    0.015303856
            170     0.21277799    0.009276151      0.1991584   0.0072723642     0.22808321    0.012230929
            180      0.1894492    0.012588467     0.17542127   0.0097573468      0.2058221    0.016713353
            190     0.14174338    0.012012213     0.13224748   0.0093056296     0.15217421    0.015943941
            200     0.14174338    0.012012213     0.13224748   0.0093056296     0.15217421    0.015943941
