#       pT_miss        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20       4.007775    0.057084424      3.9292056    0.064400405      4.0655031     0.05956033
             30      6.5293432     0.19692911      6.2818521     0.16654607      6.8925915     0.23871222
             40      7.7125593     0.17568715      7.5562676     0.14145243      7.8957086     0.22592095
             50      7.6986258     0.21375765      7.4675495      0.1763045      7.9801937     0.26738315
             60      5.8654395     0.11706914      5.7371733    0.094863898      6.0114979     0.14117022
             70      4.1724741    0.074591691      4.0265368     0.06017481      4.3382335    0.091183682
             80      2.2571931    0.041820089      2.1755485    0.033568895      2.3449206    0.052162262
             90       1.372319    0.027800319      1.3077512    0.022688113      1.4495959     0.03503979
            100     0.92704143    0.020552474     0.87791358    0.016772484     0.98555394    0.025943505
            110     0.62196984     0.01631598     0.59057352     0.01318982     0.65827043    0.020819122
            120      0.4742973    0.013108168     0.44744189    0.010546007     0.50512082    0.016821212
            130     0.35076671    0.012894278     0.32991887    0.010527989     0.37505589     0.01630051
            140     0.27500877    0.011153721     0.26014901   0.0090714595     0.29109531    0.014184225
            150     0.22972795    0.010212211     0.21691292   0.0081128216     0.24345806    0.013300932
            160     0.18718298   0.0090446956     0.17470087   0.0073789635     0.20135273    0.011449897
            170     0.14480157   0.0081976325      0.1372434   0.0064035934     0.15212246    0.010854337
            180     0.12612982   0.0068640092     0.11800343   0.0054106224     0.13530458   0.0090037608
            190     0.11035653   0.0087675733     0.10288498   0.0069592227     0.11851202    0.011332052
            200     0.11035653   0.0087675733     0.10288498   0.0069592227     0.11851202    0.011332052
