#          m_WW        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             15              0              0              0              0              0              0
             30  5.0068352e-10  3.0407204e-10  4.5048712e-10  2.7358707e-10  5.6396735e-10  3.4250519e-10
             45  6.1641279e-09  3.5896106e-09  5.5461388e-09  3.2297316e-09  6.9432422e-09   4.043319e-09
             60  1.0203188e-07  5.2617344e-08  9.1802595e-08  4.7342154e-08  1.1492818e-07  5.9267907e-08
             75  3.3280722e-06  2.1766526e-06  2.9834533e-06  2.1245605e-06  3.7460668e-06   2.243902e-06
             90  0.00027127566  0.00017107936  0.00024778737  0.00015394391  0.00030093814  0.00019268476
            105  0.00097332364  8.5052357e-05  0.00091773347  7.6991065e-05   0.0010247922  9.1906917e-05
            120     0.34841541   0.0052218413     0.28359561   0.0042367569     0.43983844   0.0066138245
            135    0.043834737   0.0014284749    0.041956424   0.0013278225    0.046254733   0.0015513757
            150     0.62782942   0.0071261069     0.59979886     0.00659226     0.66484022   0.0078362141
            165      2.8720694    0.014539143      2.7512465    0.013570773      3.0305247    0.015844605
            180      3.1197467    0.016540451      2.9862798     0.01537556      3.2939859    0.018098322
            195      2.8360376    0.014686381      2.7095203    0.013722862      3.0004924    0.015979602
            210      2.3963306    0.015021657      2.2874822    0.013927216      2.5375933    0.016465794
            225      2.0491956    0.015868232      1.9551659    0.014610799      2.1708311    0.017503272
            240      1.7042356    0.014346645      1.6264992    0.013206901      1.8046707    0.015827251
            255      1.4443802    0.011158554      1.3771798    0.010346117      1.5310835    0.012224015
            270      1.2313886    0.010418151      1.1743967   0.0096558331      1.3048265    0.011415746
            285      1.0350705    0.008386694     0.98697039   0.0078180246      1.0970132   0.0091365035
            300      1.0350705    0.008386694     0.98697039   0.0078180246      1.0970132   0.0091365035
