#      m_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.7439445    0.015096072      1.6463607    0.014057204      1.8740923    0.016515667
             30      2.3401886    0.017190251      2.2161856    0.016020264      2.5051519    0.018791445
             40      2.8815486    0.020124597       2.737643    0.018665369      3.0721109    0.022090614
             50      3.1794324    0.020676819      3.0299983    0.019170614      3.3761949    0.022692624
             60      3.2022573    0.018497528      3.0576491    0.017242637       3.391397     0.02018333
             70      3.1353366    0.018426345      2.9939134    0.016982219      3.3195153     0.02042297
             80      2.9248049    0.016391251      2.7931819    0.015291463      3.0953939    0.017857597
             90      2.6372234    0.018817647      2.5168506    0.017348248      2.7928856    0.020733669
            100      2.3535114    0.014869574      2.2438782    0.013834042      2.4950536    0.016239922
            110      2.0581272    0.013746232      1.9630628    0.012815662      2.1806171    0.014975748
            120      1.7999053    0.015963812      1.7154201    0.014708707      1.9086632    0.017592872
            130       1.564329    0.012799954      1.4913249    0.011901948       1.658165    0.013978611
            140      1.3588379    0.012264803      1.2952824    0.011389851      1.4405249    0.013410502
            150      1.1800891    0.011901874      1.1246709    0.011027986      1.2512388    0.013041821
            160      1.0137972    0.012736459     0.96697228    0.011721238      1.0739289    0.014049344
            170     0.88594301    0.010136354     0.84493958   0.0094165672     0.93854243    0.011077029
            180     0.75398015    0.010064614     0.71893359   0.0092996456     0.79895726    0.011058071
            190     0.66202779    0.011351202     0.63088449    0.010400333     0.70195851    0.012573794
            200     0.66202779    0.011351202     0.63088449    0.010400333     0.70195851    0.012573794
