#         pT.Wm        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.4827906    0.022959625       1.405839     0.02080077      1.5870657    0.025773721
             10      3.8321295    0.038068991      3.6715867    0.034658968      4.0469211    0.042458523
             20      5.0173437    0.044411577      4.8160457    0.040469319      5.2841868     0.04947824
             30      5.0200029    0.044715326      4.8259714    0.040755462       5.274224    0.049795841
             40      4.4229886    0.053133154       4.251559    0.048128777      4.6455914    0.059529837
             50      3.7637088    0.051078136      3.6046813    0.046257608      3.9695631    0.057202624
             60      2.9609613    0.041574207      2.8287788    0.037662798        3.13173    0.046545729
             70      2.4569088    0.034364048      2.3355924    0.031126573      2.6130767    0.038478461
             80       1.989644    0.030788264      1.8872845    0.027861588      2.1212692     0.03450473
             90      1.5872945    0.022459483      1.5039238    0.020366004      1.6944859    0.025123756
            100      1.3165943    0.018032236      1.2430281    0.016359019      1.4109426    0.020162888
            110      1.0781208    0.015313183      1.0159505    0.013893617      1.1578425    0.017121251
            120     0.85313124     0.01279888     0.80382282    0.011613881     0.91630874    0.014308184
            130     0.73517702    0.017837546     0.68947388    0.016457397     0.79250263    0.020038122
            140     0.59994192     0.01021048     0.56096542   0.0093458403     0.64903888    0.011237103
            150     0.51524258   0.0089578574     0.47933836   0.0081981674     0.56029337   0.0098577594
            160     0.41244201   0.0077036382     0.38310403   0.0070368515     0.44942545   0.0084970011
            170     0.36898583   0.0074880547     0.34037837   0.0067791843     0.40513722   0.0083472255
            180     0.30720227   0.0076627544      0.2826461   0.0069223635     0.33820311   0.0085570942
            190     0.25580832   0.0069236388     0.23481542   0.0062883441     0.28259796    0.007676342
            200     0.25580832   0.0069236388     0.23481542   0.0062883441     0.28259796    0.007676342
