#         pT.Wp        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.4597336    0.047546588      1.3850936    0.042848995      1.5610944    0.053513851
             10      3.9318173    0.059597308      3.7612802    0.053882975       4.159209    0.066861206
             20      5.0117874    0.051156432      4.8110464    0.046471378      5.2779281     0.05714834
             30      5.0843782    0.058119316      4.8838927    0.052696042       5.346736    0.065026803
             40      4.4201922    0.059894827       4.249043    0.054176347      4.6424416    0.067182333
             50      3.7461977    0.045228055      3.5889257    0.041032578      3.9498386    0.050569943
             60      2.9954663    0.035765806      2.8598245    0.032478046      3.1705962    0.039956825
             70      2.4315925     0.03151142      2.3128142    0.028578599      2.5845605    0.035244402
             80      1.9445366    0.030349584      1.8466993    0.027469188      2.0704605     0.03400806
             90      1.5784011    0.020979899       1.495922    0.019045819      1.6844684     0.02344476
            100      1.2960624    0.019345138      1.2245548    0.017531227      1.3878156    0.021651881
            110       1.045223    0.017276167     0.98635086    0.015646749      1.1207866    0.019346916
            120     0.86200934    0.014811626     0.81181085     0.01341159     0.92630899    0.016590153
            130     0.73025986    0.019058047     0.68539133    0.017549382     0.78696397    0.021416356
            140     0.59311378     0.01084314     0.55455356   0.0099571163     0.64185369    0.011882353
            150     0.48349359   0.0091032616      0.4508316   0.0083554241     0.52471465   0.0099810301
            160     0.42100794   0.0079390552     0.39089574    0.007254717     0.45887266    0.008748507
            170     0.35912748   0.0075771583      0.3319617   0.0068892671      0.3934636   0.0083946793
            180     0.29997423   0.0065880905     0.27621644   0.0059626597     0.33003032   0.0073381066
            190     0.26109998   0.0055274915     0.23979728   0.0050113323     0.28819187   0.0061466242
            200     0.26109998   0.0055274915     0.23979728   0.0050113323     0.28819187   0.0061466242
