#         pT_WW        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.317464    0.077772417      13.465008     0.08593193      15.189402    0.075110259
             10      8.3480871     0.03527225      7.5111435    0.031736005      9.4032427    0.039730482
             20      3.8783131    0.018047421        3.48949    0.016238064       4.368512    0.020328523
             30      2.3925791    0.012149191      2.1527093    0.010931165      2.6949889    0.013684787
             40      1.6938382   0.0094097417      1.5240212   0.0084663611      1.9079307    0.010599085
             50       1.354509   0.0081840459      1.2187117   0.0073635484       1.525712   0.0092184675
             60       1.126942   0.0074059176      1.0139596    0.006663432      1.2693817   0.0083419878
             70     0.97147064   0.0068249497     0.87407514   0.0061407093      1.0942596   0.0076875884
             80     0.81506704   0.0061502911      0.7333519   0.0055336892     0.91808735   0.0069276565
             90     0.70293252   0.0056192527      0.6324595   0.0050558904      0.7917796   0.0063294975
            100     0.60771651   0.0051916738     0.54657904   0.0046727992     0.68452877   0.0058478749
            110     0.52482379   0.0047951439     0.47063451   0.0043026294     0.59115883   0.0054012256
            120     0.45174075   0.0042800474     0.40393489   0.0038294649     0.50883848   0.0048210235
            130     0.40305915   0.0040103672     0.35912627   0.0035763082     0.45473542   0.0045186338
            140     0.34346828   0.0036590257       0.305202   0.0032550011     0.38869821   0.0041335774
            150     0.30281412   0.0033552471     0.26833971   0.0029797338     0.34378781   0.0037976435
            160     0.26706601   0.0030901285     0.23603431    0.002734608     0.30413917   0.0035127047
            170     0.23708777   0.0029497104     0.20894648   0.0026020742     0.27089238   0.0033646041
            180     0.20857378   0.0026483336     0.18317886   0.0023286298     0.23928898   0.0030329852
            190     0.18020632   0.0023810542     0.15792705   0.0020881499     0.20726306   0.0027351336
            200     0.18020632   0.0023810542     0.15792705   0.0020881499     0.20726306   0.0027351336
