#       pT_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      15.117889    0.060034823      14.396705    0.054961534      16.067034    0.066624948
             30      11.225932    0.054091112      10.712881    0.049280127      11.893013    0.060305803
             40      5.9165733    0.038368526      5.6402732     0.03502736      6.2717216    0.042651324
             50      3.1885153    0.029660949      3.0338462    0.027010713       3.386666    0.033045872
             60      1.8339331    0.019903059      1.7450732      0.0181561      1.9477157    0.022138404
             70      1.0804177    0.020261703      1.0272942    0.019115559      1.1505537    0.021538927
             80     0.71845495    0.017989412     0.68081552    0.016916953     0.76819175      0.0191679
             90     0.48135024    0.011867383      0.4546915    0.011105712     0.51662866    0.012731592
            100     0.33309991   0.0081781625      0.3138327   0.0075725813      0.3586893   0.0088885829
            110     0.24331534    0.015373629      0.2284884    0.014175481     0.26304509    0.016725633
            120     0.16927123   0.0064717034     0.15906621   0.0058777615     0.18300763   0.0071882695
            130     0.11867009   0.0039042256     0.11126862    0.003573035     0.12871636   0.0043037204
            140     0.10117612   0.0037484047    0.094329801   0.0034180764     0.11028462   0.0041448538
            150    0.069169899   0.0033883027    0.064560642   0.0030601806    0.075450401   0.0037891374
            160    0.049983766   0.0033740845    0.046615821   0.0030012597    0.054653272   0.0038416673
            170    0.045132651   0.0027724235    0.042260447   0.0024580014    0.049046238   0.0031715527
            180    0.033284487   0.0020250748    0.031029754    0.001822691    0.036359261   0.0022730046
            190    0.024399706    0.001992056    0.022639763   0.0017887129    0.026850518    0.002240471
            200    0.024399706    0.001992056    0.022639763   0.0017887129    0.026850518    0.002240471
