#     pT_leplep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30      7.5541371     0.11653817      7.3559633     0.10524197      7.8153287     0.13085566
             40      7.5707795     0.11358044      7.3326794     0.10253789      7.8864154     0.12756302
             50      7.4089205    0.054257733      7.1202691    0.049319531      7.7891497    0.060580314
             60      6.0171405    0.041030285      5.7508001    0.037260888      6.3653858    0.045860311
             70      4.0975623    0.029274826      3.8630341    0.026492731       4.403762    0.032840449
             80      2.2956583    0.017322644      2.1236592    0.015639698      2.5170112    0.019476011
             90      1.3769356    0.012205374      1.2621402     0.01100479       1.523532    0.013733833
            100     0.95060779   0.0087637172     0.86744609   0.0079448939      1.0557559    0.009862835
            110     0.67860761   0.0067194862      0.6141821   0.0060447362     0.75578795   0.0075377951
            120     0.52779487   0.0055390746     0.47482153   0.0049792234     0.59162996   0.0062071036
            130     0.40027442    0.006068406     0.35841772   0.0055272937     0.45087731   0.0067030939
            140     0.32232383   0.0062795862     0.28678403   0.0057025689      0.3656199   0.0069614741
            150     0.25574755   0.0044788147     0.22667108   0.0039805732     0.29145106    0.005083027
            160     0.21163922   0.0033479351     0.18688174   0.0029735437     0.24216702   0.0038018108
            170     0.17711173   0.0029006826     0.15562188   0.0025546735     0.20380192   0.0033263557
            180     0.14029407   0.0030555572     0.12288691   0.0026828845     0.16206049   0.0035152556
            190     0.11822199   0.0027653847     0.10320209   0.0024247041     0.13705582   0.0031865084
            200     0.11822199   0.0027653847     0.10320209   0.0024247041     0.13705582   0.0031865084
