#       pT_miss        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      4.1514729    0.044153705      3.7352639    0.039727043      4.6761978    0.049734508
             30      5.5924805    0.070848287      5.5366042    0.066528132      5.6432761    0.067745932
             40      7.6259057    0.066077008      7.3822789    0.060042716      7.9485093      0.0737851
             50      7.2192455    0.060489191      6.9496101     0.05487504      7.5755008    0.067654958
             60      5.7183221    0.051389343        5.48194    0.046512483      6.0287983     0.05760086
             70      3.8972704    0.030083172      3.6828227    0.027215951      4.1781542    0.033754596
             80      2.0364769     0.01576689      1.8904622      0.0142452      2.2250705    0.017720046
             90      1.1598142    0.010268974      1.0667864   0.0092668646      1.2789677    0.011549994
            100     0.75558057   0.0081996536     0.69001395   0.0074671364     0.83607827   0.0092268865
            110      0.5257749   0.0065120251     0.47578636    0.005858778     0.58657748   0.0073091272
            120     0.39257391    0.005400624     0.35318261   0.0048670805     0.44073705    0.006037428
            130      0.2844029   0.0062930458     0.25431691   0.0057131411     0.32142872   0.0069739169
            140     0.23662206   0.0054758593     0.21029754   0.0049667794     0.26920877   0.0060763626
            150     0.19378069   0.0048702742     0.17159987   0.0043507977     0.22133971   0.0054948494
            160     0.15054492   0.0047555357     0.13267449   0.0042397695     0.17289137   0.0053791741
            170     0.12316568   0.0026423222     0.10804057   0.0023205268     0.14222654   0.0030440576
            180     0.10760599   0.0027089703    0.094203218   0.0023689155     0.12452251   0.0031324496
            190    0.091610132   0.0023602762    0.079777817    0.002051077     0.10659888   0.0027479841
            200    0.091610132   0.0023602762    0.079777817    0.002051077     0.10659888   0.0027479841
