# m_WW__loop-in        central        num_err    min (scale)        num_err    max (scale)        num_err
# duced_QCD.dat
              0              0              0              0              0              0              0
             15              0              0              0              0              0              0
             30              0              0              0              0              0              0
             45              0              0              0              0              0              0
             60              0              0              0              0              0              0
             75  1.1523853e-07  6.6881774e-08  9.3290167e-08  5.4143455e-08  1.4621066e-07  8.4857284e-08
             90  1.7528354e-06  6.9895005e-07  1.4189899e-06  5.6582785e-07  2.2239369e-06  8.8680367e-07
            105  5.4014686e-05  1.1949759e-05  4.3727035e-05  9.6738046e-06  6.8531967e-05  1.5161441e-05
            120     0.33870759   0.0051917131     0.27419725   0.0042028981     0.42974048   0.0065870662
            135   0.0032570123  0.00021905143   0.0026366809  0.00017733084   0.0041323847  0.00027792489
            150    0.058364294   0.0015338562    0.047248216   0.0012417175    0.074050599   0.0019461037
            165     0.21401061   0.0031856547      0.1732501   0.0025789141     0.27152927   0.0040418486
            180      0.2085458   0.0034843742     0.16882611   0.0028207394      0.2645957   0.0044208535
            195     0.17283116    0.002890325     0.13991369    0.002339833      0.2192822   0.0036671445
            210     0.14084896   0.0024870328     0.11402283   0.0020133519     0.17870429   0.0031554612
            225     0.10786394   0.0019750565     0.08732015   0.0015988867     0.13685404   0.0025058834
            240    0.084852096   0.0017086411    0.068691145   0.0013832129     0.10765741   0.0021678648
            255    0.069186856   0.0014485226     0.05600951   0.0011726366    0.087781893   0.0018378354
            270    0.055392734   0.0012312584     0.04484262  0.00099675264    0.070280387   0.0015621781
            285      0.0454355   0.0010468409    0.036693448  0.00084585237    0.057646992   0.0013281955
            300      0.0454355   0.0010468409    0.036693448  0.00084585237    0.057646992   0.0013281955
