# m_leplep__loo        central        num_err    min (scale)        num_err    max (scale)        num_err
# p-induced_QCD.dat
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20     0.24859024   0.0041616819     0.20124368    0.003369047     0.31540271   0.0052801982
             30     0.30124125    0.004748325     0.24386677   0.0038439578     0.38220449   0.0060245107
             40     0.31894312   0.0050283508     0.25819713   0.0040706498     0.40466401   0.0063797977
             50      0.2920775   0.0047032069     0.23644834   0.0038074329     0.37057784   0.0059672664
             60     0.23836045   0.0039428909     0.19296226   0.0031919269      0.3024235   0.0050026037
             70     0.20535619   0.0066205269       0.166244   0.0053595797     0.26054884   0.0083998958
             80     0.16226919   0.0029175232     0.13136336    0.002361851     0.20588154   0.0037016526
             90     0.13631689   0.0025305559     0.11035394   0.0020485856     0.17295416   0.0032106819
            100     0.11605652   0.0023591737    0.093952363   0.0019098449      0.1472485    0.002993238
            110    0.092149264    0.001875307    0.074598492   0.0015181356      0.1169158   0.0023793247
            120    0.078380959   0.0016621253    0.063452502   0.0013455565    0.099447052   0.0021088471
            130    0.062759314   0.0014520491    0.050806159   0.0011754915    0.079626849   0.0018423097
            140    0.054489449   0.0013052185    0.044092424   0.0010611065     0.06913433   0.0016560161
            150    0.044772051   0.0011311942    0.036073248  0.00091635674    0.056805231   0.0014352202
            160    0.038337508   0.0010190914    0.030809348  0.00082430574    0.048641306    0.001292988
            170    0.031603107  0.00087567125    0.025322934  0.00070604341     0.04009693   0.0011110214
            180    0.027682903  0.00081140402    0.022088546  0.00065213213    0.035190052   0.0010228995
            190     0.02330334  0.00072104988    0.018533634  0.00057717645    0.029736998  0.00091338658
            200     0.02330334  0.00072104988    0.018533634  0.00057717645    0.029736998  0.00091338658
