# pT.Wm__loop-i        central        num_err    min (scale)        num_err    max (scale)        num_err
# nduced_QCD.dat
              0     0.25343496   0.0055683122     0.20516568   0.0045077701     0.32154953   0.0070648822
             10     0.43254573   0.0053330912     0.35016296   0.0043173493     0.54879908   0.0067664418
             20     0.45594389   0.0053329323      0.3691047   0.0043172207     0.57848585   0.0067662402
             30     0.33513399    0.004556332     0.27130428   0.0036885319     0.42520642   0.0057809166
             40     0.22610298   0.0067188904     0.18303935   0.0054392088     0.28687165   0.0085246959
             50     0.18724932   0.0029103415     0.15158576   0.0023560371     0.23757546   0.0036925407
             60     0.14391983   0.0024469553     0.11650882   0.0019809076     0.18260051   0.0031046123
             70     0.11244614    0.002030749    0.091029623    0.001643972     0.14266778   0.0025765442
             80     0.08999197   0.0018858295    0.072852077   0.0015266539      0.1141787   0.0023926753
             90      0.0727428   0.0014522609    0.058855442   0.0011765109    0.092293551   0.0018425785
            100    0.055908653   0.0012009167    0.045015666  0.00096851354    0.070934967   0.0015236816
            110    0.046846392   0.0010516589    0.037529551  0.00084373337    0.059437084   0.0013343085
            120    0.035366557  0.00085360337    0.028196338  0.00068147522    0.044982882   0.0010841389
            130     0.02916242  0.00074171171    0.023132074  0.00058906237    0.037317459  0.00094793375
            140    0.023333198  0.00065093109    0.018412618  0.00051234799    0.030041552   0.0008408807
            150    0.018485209  0.00052715769    0.014520418   0.0004147058    0.023931307  0.00068139494
            160    0.015063936  0.00047433091    0.011776701  0.00037063885    0.019611103  0.00061801884
            170    0.013698554  0.00043189673     0.01067825  0.00033712248     0.01789427  0.00056336723
            180     0.01150531  0.00038092582   0.0089291707   0.0002961963    0.015109346  0.00049918888
            190     0.01095203  0.00036666369   0.0084766108  0.00028428067     0.01442857  0.00048213384
            200     0.01095203  0.00036666369   0.0084766108  0.00028428067     0.01442857  0.00048213384
