# pT_lep1__loop        central        num_err    min (scale)        num_err    max (scale)        num_err
# -induced_QCD.dat
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20     0.18892107   0.0040492154     0.15293911   0.0032780008     0.23969652   0.0051375046
             30      0.6642132   0.0092332837     0.53770699   0.0074747102     0.84273076    0.011714871
             40     0.58698157   0.0059720752     0.47518492   0.0048346322     0.74474194   0.0075771626
             50     0.35172034   0.0041403066     0.28473159   0.0033517427     0.44625061   0.0052530779
             60     0.23650652   0.0033460017     0.19146143   0.0027087213      0.3000713   0.0042452913
             70     0.16035042   0.0024981733     0.12981004   0.0020223706     0.20344707    0.003169596
             80     0.11308461   0.0019995696     0.09154649    0.001618731     0.14347785   0.0025369848
             90    0.078911642   0.0015379864    0.063652042   0.0012474471     0.10012036    0.001951344
            100    0.058571266   0.0012587221    0.046945768   0.0010135448    0.074313198   0.0015970231
            110     0.04181112  0.00099920868    0.033298872  0.00079828684    0.053259456    0.001268529
            120    0.030729014  0.00079925506    0.024329121  0.00063609766    0.039418551   0.0010191486
            130    0.023237622  0.00064530346    0.018295732  0.00051089933    0.030008855  0.00082798491
            140    0.018557484  0.00055326106    0.014527997  0.00043522497    0.024125329  0.00071527621
            150    0.014583517  0.00045900743    0.011358382  0.00035917196    0.019076061  0.00059720829
            160    0.011204161  0.00038510139   0.0086782801  0.00029926523    0.014751184  0.00050518532
            170   0.0092439069  0.00033646438   0.0071393898  0.00026107685    0.012211849  0.00044212567
            180   0.0081576451  0.00030486737   0.0062675434  0.00023507295    0.010844565  0.00040381342
            190   0.0068135314  0.00027893149   0.0052219251  0.00021483338   0.0090841709  0.00036976829
            200   0.0068135314  0.00027893149   0.0052219251  0.00021483338   0.0090841709  0.00036976829
