# pT_miss__loop        central        num_err    min (scale)        num_err    max (scale)        num_err
# -induced_QCD.dat
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20              0              0              0              0              0              0
             30     0.39615424   0.0074094968     0.32070261   0.0059982821     0.50262681   0.0094009135
             40     0.53956707   0.0057872996     0.43680099   0.0046850491     0.68458405   0.0073427258
             50     0.56966197   0.0059003965     0.46116401   0.0047766055     0.72276742   0.0074862191
             60     0.43505717   0.0051255912     0.35219607   0.0041493698     0.55198551    0.006503173
             70     0.36737354   0.0045372118     0.29740349   0.0036730533     0.46611086   0.0057566575
             80     0.15740384   0.0027887369     0.12742466   0.0022575933     0.19970855    0.003538253
             90    0.065315646   0.0016218058    0.052618549   0.0013219253    0.082870235   0.0020576911
            100    0.033718158   0.0010672538    0.026823804  0.00085883413    0.043026634    0.001344055
            110    0.020761184    0.000732088    0.016360701  0.00058447584    0.026790013  0.00093029923
            120    0.012812495   0.0005225135    0.010012395  0.00041306447    0.016697267  0.00067178054
            130   0.0081310378  0.00037822102   0.0063059251  0.00029701207    0.010693591  0.00049026078
            140   0.0056327723  0.00028915829    0.004338532  0.00022531902   0.0074686496  0.00037820568
            150   0.0046552942  0.00026635424   0.0035733589  0.00020668695   0.0061971714  0.00035009669
            160   0.0036765594  0.00022400741     0.00280913  0.00017296741   0.0049210738  0.00029615619
            170   0.0030096921  0.00019802627   0.0022895833  0.00015278065   0.0040494041  0.00026212084
            180   0.0024184563  0.00016143154   0.0018316984  0.00012365275   0.0032711448  0.00021549797
            190   0.0017318557  0.00013254515   0.0013041492  0.00010058721   0.0023582719  0.00017886522
            200   0.0017318557  0.00013254515   0.0013041492  0.00010058721   0.0023582719  0.00017886522
